"","outcome","predictor","beta","conf_low....conf_low_predictor","conf_high....conf_high_predictor","p_value....p_value_predictor","p.correct","sig_label"
"78","DTI-AD","Weather: 2 metre temperature",-0.0144460353560006,-0.0246556061144238,-0.00423646459757749,0.00555140130642558,0.0108583756081531,"*"
"79","DTI-AD","Weather: 10 metre U wind component",0.00780421798418339,-0.00241171677382567,0.0180201527421924,0.134318617700637,0.195609637428113,""
"80","DTI-AD","Weather: 10 metre V wind component",0.0212319852358906,0.0110315360342463,0.0314324344375349,4.51925410454514e-05,0.000130363099169571,"*"
"81","DTI-AD","Weather: Surface pressure",0.00468967061631712,-0.00555210082114568,0.0149314420537799,0.36946139517898,0.458009994023529,""
"82","DTI-AD","Weather: Time-mean surface latent heat flux",-0.0230541945739662,-0.0332382986494263,-0.0128700904985062,9.15257460886823e-06,2.69193370849066e-05,"*"
"83","DTI-AD","Weather: Time-mean surface net short-wave radiation flux",-0.0415528232118736,-0.051732419936582,-0.0313732264871651,1.27900995320497e-15,7.67405971922981e-15,"*"
"84","DTI-AD","Weather: Time-mean surface downward long-wave radiation flux",-0.0153052759047872,-0.025508020428713,-0.00510253138086147,0.00328155428655582,0.00674291976689553,"*"
"85","DTI-AD","Weather: Time-mean large-scale precipitation rate",0.0102741867649382,4.72304268437067e-05,0.0205011431030326,0.048951371262133,0.0815856187702217,""
"86","DTI-AD","Weather: Surface downward UV radiation",-0.0422607888976972,-0.0524400803357423,-0.0320814974596521,4.18991778831874e-16,2.73255507933831e-15,"*"
"87","DTI-AD","Weather: Time-mean surface direct short-wave radiation flux",-0.0365687262999419,-0.0467515077030496,-0.0263859448968342,1.97742036395093e-12,1.02280363652634e-11,"*"
"88","DTI-AD","Weather: Time-mean surface downward UV radiation flux",-0.0422608292002746,-0.0524401205774304,-0.0320815378231187,4.18964822270207e-16,2.73255507933831e-15,"*"
"89","DTI-AD","Weather: Time-mean surface net long-wave radiation flux",-0.025441157586222,-0.035609964550463,-0.0152723506219809,9.44837620049851e-07,3.54314107518694e-06,"*"
"90","DTI-AD","Weather: Total precipitation",0.000362201026625324,-0.00988809772331522,0.0106124997765659,0.944783638455597,0.964064937199589,""
"91","DTI-AD","Self-Reports: Recent Depressive Symptoms",0.0142370901878713,0.00353612909296405,0.0249380512827786,0.00911883588943568,0.0170978172926919,"*"
"92","DTI-AD","Self-Reports: Neuroticism",0.006989631512716,-0.00457845660570478,0.0185577196311368,0.236305530321348,0.316480620966091,""
"93","DTI-AD","PGRS: Anxiety Disorder",0.00668019169273274,-0.00350541482959873,0.0168657982150642,0.19863231276211,0.273347219397399,""
"94","DTI-AD","PGRS: Attention-Deficit/Hyperactivity Disorder",-0.000296716906863954,-0.0104828860100853,0.00988945219635742,0.954470042831738,0.967368286653789,""
"95","DTI-AD","PGRS: Autism Spectrum Disorder",-0.00387037145780088,-0.0140416961210019,0.00630095320540014,0.455775308625835,0.542589653125994,""
"96","DTI-AD","PGRS: Bipolar Disorder",0.00834135829732913,-0.00183663193179765,0.0185193485264559,0.108207490738667,0.165623710314287,""
