"","outcome","predictor","std_beta","conf_low","conf_high","p_value","p.correct","sig_label"
"63","DTI-RD","Weather: Time-mean surface downward UV radiation flux",-0.0223805252060201,-0.0254080346123965,-0.0193530157996437,2.00990686742133e-47,9.77038060552033e-47,"*"
"64","DTI-RD","Weather: Time-mean surface net long-wave radiation flux",0.00819577206389593,0.00534122741600652,0.0110503167117853,1.8456240771061e-08,4.08840776574135e-08,"*"
"65","DTI-RD","Weather: Total precipitation",0.0427960592637996,0.039496373420335,0.0460957451072642,3.6659722095821e-141,4.93496258982205e-140,"*"
"66","DTI-RD","Self-Reports: Recent Depressive Symptoms",-0.00388332424545366,-0.00856836842781242,0.000801719936905097,0.1042647465325,0.170526454609229,""
"67","DTI-RD","Self-Reports: Neuroticism",-0.0182724485158285,-0.0263606807765112,-0.0101842162551457,9.55503172185885e-06,1.87879837227562e-05,"*"
"68","DTI-RD","PGRS: Anxiety Disorder",0.0404121812302563,-0.001085816270587,0.0819101787310997,0.0564416351748864,0.0987728615560512,""
"69","DTI-RD","PGRS: Attention-Deficit/Hyperactivity Disorder",-0.0230391241545039,-0.0644890631119748,0.018410814802967,0.276101403484638,0.402647880081764,""
"70","DTI-RD","PGRS: Autism Spectrum Disorder",-0.018690578746359,-0.0601697157768705,0.0227885582841524,0.377250596102072,0.519833498565847,""
"71","DTI-RD","PGRS: Bipolar Disorder",0.00986970869705514,-0.0315792198493907,0.051318637243501,0.640762686312389,0.738603783875905,""
"72","DTI-RD","PGRS: Major Depressive Disorder",0.0161010306403795,-0.0253250622964102,0.0575271235771692,0.446280063525894,0.579538621803452,""
"73","DTI-RD","PGRS: Obsessive-Compulsive Disorder",-0.00379720852999785,-0.0452787260309175,0.0376843089709218,0.857629708762757,0.915153652643186,""
"74","DTI-RD","PGRS: Schizophrenia",-0.010723982997686,-0.0521936832038343,0.0307457172084622,0.612319144101611,0.719166779985113,""
"75","DTI-RD","PGRS: Alzheimer's Disease",0.0163516708989737,-0.02509565959503,0.0577990013929774,0.439469422787908,0.578249240510405,""
"76","DTI-AD","Weather: 10 metre wind speed",-0.00093253209523818,-0.00548000612989231,0.00361494193941595,0.687744179481795,0.77150789364945,""
"77","DTI-AD","Weather: Surface net short-wave radiation flux",0.0163395602692943,0.0125296764472066,0.020149444091382,4.42514910354825e-17,1.12232042481296e-16,"*"
"78","DTI-AD","Weather: 2 metre temperature",0.015857712005054,0.0120480228639967,0.0196674011461113,3.521352208091e-16,8.80338052022751e-16,"*"
"79","DTI-AD","Weather: 10 metre U wind component",-0.025959367464231,-0.0305138741087733,-0.0214048608196887,6.3770457193702e-29,2.23196600177957e-28,"*"
"80","DTI-AD","Weather: 10 metre V wind component",0.00202715963737604,-0.00184379712746008,0.00589811640221215,0.304709627626324,0.440695742434766,""
"81","DTI-AD","Weather: Surface pressure",-0.0293216820650582,-0.0336920577620862,-0.0249513063680302,2.15687586601367e-39,8.38785059005317e-39,"*"
"82","DTI-AD","Weather: Time-mean surface latent heat flux",-0.0192227009811939,-0.0235274724032422,-0.0149179295591456,2.19442615691502e-18,5.73171011134521e-18,"*"
"83","DTI-AD","Weather: Time-mean surface net short-wave radiation flux",-0.0201277877332909,-0.0244083165067724,-0.0158472589598094,3.26273214245038e-20,9.06314484013994e-20,"*"
"84","DTI-AD","Weather: Time-mean surface downward long-wave radiation flux",0.0194840396101856,0.0156757268100996,0.0232923524102717,1.25023607660721e-23,3.90698773939754e-23,"*"
"85","DTI-AD","Weather: Time-mean large-scale precipitation rate",0.0288596191005039,0.0244722319175367,0.0332470062834711,6.16357050005374e-38,2.34483660328132e-37,"*"
"86","DTI-AD","Weather: Surface downward UV radiation",-0.0191787159226241,-0.023436578362841,-0.0149208534824072,1.11558806415004e-18,3.00407052166567e-18,"*"
"87","DTI-AD","Weather: Time-mean surface direct short-wave radiation flux",-0.0204526353936639,-0.024749899194681,-0.0161553715926468,1.14172631895498e-20,3.27544435765773e-20,"*"
"88","DTI-AD","Weather: Time-mean surface downward UV radiation flux",-0.0191786654512051,-0.0234365268450682,-0.0149208040573419,1.11579762233296e-18,3.00407052166567e-18,"*"
"89","DTI-AD","Weather: Time-mean surface net long-wave radiation flux",0.0154303913491655,0.0114221466721186,0.0194386360262123,4.6357596821079e-14,1.09629451941741e-13,"*"
"90","DTI-AD","Weather: Total precipitation",0.0320921770633076,0.0274310375352129,0.0367533165914023,2.18219367175595e-41,8.67917937630209e-41,"*"
"91","DTI-AD","Self-Reports: Recent Depressive Symptoms",-0.00094293399906793,-0.00756761687120275,0.00568174887306689,0.780266368108653,0.848115617509405,""
"92","DTI-AD","Self-Reports: Neuroticism",-0.0204143248903068,-0.0315895756119037,-0.00923907416870988,0.000343716318115062,0.000633161638633008,"*"
"93","DTI-AD","PGRS: Anxiety Disorder",0.020361704215775,-0.0291639846522592,0.0698873930838093,0.420454170062338,0.56497653188716,""
"94","DTI-AD","PGRS: Attention-Deficit/Hyperactivity Disorder",-0.0251065461187553,-0.0745371921271526,0.024324099889642,0.319622610366191,0.454747616374662,""
"95","DTI-AD","PGRS: Autism Spectrum Disorder",-0.0207423968183425,-0.0702082837911315,0.0287234901544464,0.411255986486319,0.557905408024076,""
"96","DTI-AD","PGRS: Bipolar Disorder",-0.0243241539672341,-0.0737470184182487,0.0250987104837805,0.334855977026294,0.472578999835495,""
"97","DTI-AD","PGRS: Major Depressive Disorder",0.0183152931530713,-0.0310867452091749,0.0677173315153175,0.467538232501396,0.592892686143075,""
"98","DTI-AD","PGRS: Obsessive-Compulsive Disorder",-0.00154189277189047,-0.0510106337104206,0.0479268481666397,0.95129380996243,0.979273039667208,""
"99","DTI-AD","PGRS: Schizophrenia",-0.00886860516556829,-0.058324608574158,0.0405873982430214,0.72527706444993,0.798260919992061,""
"100","DTI-AD","PGRS: Alzheimer's Disease",0.0132128691192984,-0.0362189050848114,0.0626446433234082,0.600417010783292,0.714782155694396,""
"101","CGMV","Weather: 10 metre wind speed",-0.0320097221159265,-0.0344113338964495,-0.0296081103354035,6.91287464766607e-149,1.34417007037951e-147,"*"
"102","CGMV","Weather: Surface net short-wave radiation flux",0.00419740571295558,0.00216288312724943,0.00623192829866174,5.27631418917283e-05,9.92854820543274e-05,"*"
"103","CGMV","Weather: 2 metre temperature",0.00468805140615476,0.00265390526102199,0.00672219755128754,6.29199940414278e-06,1.26563206405171e-05,"*"
"104","CGMV","Weather: 10 metre U wind component",-0.0115307170124527,-0.0139622476537164,-0.00909918637118896,1.56943965709575e-20,4.42986999986703e-20,"*"
"105","CGMV","Weather: 10 metre V wind component",-0.0264681539966162,-0.028513915679311,-0.0244223923139215,1.76087077236712e-140,2.2010884654589e-139,"*"
"106","CGMV","Weather: Surface pressure",0.0340646516852432,0.0317548037005673,0.0363744996699192,2.11730612033756e-181,9.26321427647684e-180,"*"
"107","CGMV","Weather: Time-mean surface latent heat flux",0.0190128440330741,0.0167221052995923,0.0213035827665559,2.89364586734609e-59,1.7461656096054e-58,"*"
"108","CGMV","Weather: Time-mean surface net short-wave radiation flux",0.0303122720590522,0.0280482377763877,0.0325763063417167,3.37130859946529e-150,7.37473756133032e-149,"*"
"109","CGMV","Weather: Time-mean surface downward long-wave radiation flux",0.00491404242454098,0.00287958512452945,0.00694849972455251,2.20956305130398e-06,4.54910039974349e-06,"*"
"110","CGMV","Weather: Time-mean large-scale precipitation rate",-0.0484654776467781,-0.0507544724642122,-0.0461764828293441,0,0,"*"
